TSNE_1,TSNE_2
-25.27569,60.300903
50.003204,-33.22404
13.956158,-29.26184
-14.306714,31.727413
-27.458155,-56.016678
2.4082572,69.65149
3.1204636,13.488672
-32.160534,-51.18224
71.25356,-8.020413
-52.403534,25.469128
13.623487,-29.056852
-12.818519,-68.87935
-33.16336,-49.963463
11.804181,29.424892
-8.436517,-13.658034
-3.013032,51.73012
17.988525,-31.488075
-51.24496,-1.3976898
36.10458,6.8248205
-57.966766,-18.199512
-59.424866,18.381563
-58.119675,19.625406
25.893923,46.89477
-59.746998,-15.096483
50.86557,-25.532505
51.416058,25.341583
-34.491596,-48.26908
23.081274,21.212622
31.294558,43.126987
-30.23151,16.436272
50.367123,-32.38632
11.837869,-56.552288
-8.74636,-15.391321
-11.27071,-69.60167
-7.853455,-42.44616
6.997887,35.06577
2.343345,1.9542835
-5.3276844,-71.05989
17.283487,-12.846619
-27.877752,-2.9621575
-16.139208,12.441385
3.9810507,-47.32091
-46.000675,30.480337
-59.277596,-6.6979527
-56.22322,-20.156303
14.772352,26.991014
22.804249,48.60452
17.456089,-12.965379
5.769338,51.18412
-2.0125532,-71.12908
27.832628,-12.978789
-36.30116,19.157642
-2.9753323,-44.27628
7.9716964,33.57915
2.1950538,-16.933474
17.474205,-12.690084
-58.56218,-5.708982
-10.556836,54.73117
-37.558872,-32.761086
-16.565044,12.599023
39.866436,-42.64322
-2.1869602,-44.580387
72.114815,-8.17087
13.956158,-29.26184
-59.930172,-14.596036
-28.854092,16.060053
49.58061,-22.063694
-38.01286,-34.326218
-2.9840517,-71.196526
-63.938263,14.402235
-55.30609,-2.8892255
51.18821,-27.687355
24.379656,-13.27645
57.39067,19.22672
-36.893612,-31.147528
31.90286,42.65837
-26.879576,-56.555843
-18.950153,13.4423895
-31.495031,58.009987
-32.389965,-50.907196
36.70444,-43.182514
59.240776,14.178015
-20.504353,34.742344
36.85861,38.467304
1.8411082,17.307304
58.011112,7.755572
-29.092308,-21.983583
3.2091925,51.15777
-59.75139,18.104616
-12.341248,10.863612
13.065419,-12.649217
8.9433,32.33091
16.36939,-30.582493
59.008026,10.816344
-6.208097,8.689661
-32.104275,35.938625
37.14321,-43.19177
43.135406,-40.98322
0.54036087,51.25514
-23.83401,35.66635
67.26236,-7.319935
-8.485245,-18.027086
3.6784925,73.29898
5.6443987,-21.688349
-19.547623,13.642867
23.693295,20.76367
-55.75065,21.938055
-51.39894,-1.4388819
28.81839,-40.051136
67.894485,-7.4316573
63.280277,-6.5949683
-34.19856,-2.2461987
-10.784121,-69.803696
-30.732962,-52.740707
2.7908833,-69.95145
-59.171833,-16.366537
9.329196,-25.996643
-12.779571,-68.898506
2.1377509,67.827576
43.06093,-12.117775
-14.409085,-39.85498
-25.901703,60.226315
-30.054935,-2.7221637
8.159965,33.318443
24.279297,-13.2787075
-23.656055,-18.228605
-22.097256,-61.09136
-20.919706,-4.073786
24.450197,20.189762
50.948887,-25.854769
-37.70148,-42.393745
-17.128885,-5.192904
-36.46937,35.05887
50.037933,-33.140907
2.1761024,1.4656386
42.798336,33.086025
10.008493,-52.216957
2.1237745,63.63487
-14.344165,31.47787
-23.258162,-17.375675
20.274292,23.142946
57.891556,7.52831
-7.151171,-42.70582
59.250553,13.194855
-23.434074,-3.5729744
6.2157903,-68.16971
-7.64274,-20.224325
12.028259,-59.25682
71.35946,-8.038719
6.642281,-67.84994
18.26855,50.30274
50.944664,-30.095509
27.396908,17.704601
-54.313885,-21.80962
3.9973905,73.789955
50.136368,-23.2471
-31.136251,58.248
17.456408,-12.964315
-9.705353,54.247078
33.76549,10.483587
-48.463886,28.731604
-41.46577,33.216938
2.2343767,16.369757
-49.01468,-1.0218427
13.916419,51.110218
2.0503814,66.48716
46.266827,29.909708
35.64154,7.604027
-48.768734,-1.0010011
-26.945282,36.073475
60.64033,-6.0885267
48.68375,27.74512
33.985764,10.14653
53.351246,23.608253
-6.6589494,-70.88051
9.797598,-64.69323
-34.24085,-26.928911
-37.78353,34.61945
-24.085508,-17.782078
10.240396,-52.531746
-13.424091,-68.55311
6.529267,35.910774
57.999413,18.217735
17.820738,50.413094
-10.983731,-41.244736
-16.049576,-39.17647
-20.08119,-4.2947187
13.408252,51.15861
-29.439556,59.177273
-3.663058,-6.597069
32.057163,-42.29443
-23.196835,14.695924
42.92474,-11.368174
22.131752,21.880554
57.35861,6.582695
39.05103,0.6121852
41.553204,34.160713
