Songs,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot/not_hot
Greedy,Tate McRae,['4Ie43xzNjvedClTOHYYp19'],0.842,0.71,8,-3.225,0,0.035,0.305,0.00733,0.112,0.96,124.664,audio_features,4Ie43xzNjvedClTOHYYp19,spotify:track:4Ie43xzNjvedClTOHYYp19,https://api.spotify.com/v1/tracks/4Ie43xzNjvedClTOHYYp19,https://api.spotify.com/v1/audio-analysis/4Ie43xzNjvedClTOHYYp19,115375,4,H
Kill Bill,SZA,['6B8wwJQs2PsT5ITBGtA5CZ'],0.902,0.371,1,-12.211,0,0.569,0.052,0.0,0.108,0.185,130.027,audio_features,6B8wwJQs2PsT5ITBGtA5CZ,spotify:track:6B8wwJQs2PsT5ITBGtA5CZ,https://api.spotify.com/v1/tracks/6B8wwJQs2PsT5ITBGtA5CZ,https://api.spotify.com/v1/audio-analysis/6B8wwJQs2PsT5ITBGtA5CZ,167576,4,H
Boys Of Faith,Zach Bryan Featuring Bon Iver,['6pRRHgDjfIGhTUCGlHX2p8'],0.302,0.584,1,-6.242,1,0.063,0.385,5.22e-05,0.089,0.159,199.804,audio_features,6pRRHgDjfIGhTUCGlHX2p8,spotify:track:6pRRHgDjfIGhTUCGlHX2p8,https://api.spotify.com/v1/tracks/6pRRHgDjfIGhTUCGlHX2p8,https://api.spotify.com/v1/audio-analysis/6pRRHgDjfIGhTUCGlHX2p8,170825,4,H
Dial Drunk,Noah Kahan With Post Malone,['22VHOlVYBqytsrAqV8yXBK'],0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,audio_features,22VHOlVYBqytsrAqV8yXBK,spotify:track:22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/tracks/22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/audio-analysis/22VHOlVYBqytsrAqV8yXBK,213817,4,H
What Was I Made For?,Billie Eilish,['3wdACrQHBkIajKwglqJogE'],0.437,0.746,0,-5.98,1,0.0281,0.0249,0.0,0.216,0.61,176.012,audio_features,3wdACrQHBkIajKwglqJogE,spotify:track:3wdACrQHBkIajKwglqJogE,https://api.spotify.com/v1/tracks/3wdACrQHBkIajKwglqJogE,https://api.spotify.com/v1/audio-analysis/3wdACrQHBkIajKwglqJogE,207613,4,H
Watermelon Moonshine,Lainey Wilson,['6KaKmX6EIu3x2057HoZwQF'],0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,audio_features,6KaKmX6EIu3x2057HoZwQF,spotify:track:6KaKmX6EIu3x2057HoZwQF,https://api.spotify.com/v1/tracks/6KaKmX6EIu3x2057HoZwQF,https://api.spotify.com/v1/audio-analysis/6KaKmX6EIu3x2057HoZwQF,208853,4,H
Creepin',"Metro Boomin, The Weeknd & 21 Savage",['5ROhanbAv4DowIN50SYgNX'],0.404,0.956,4,-2.734,1,0.0569,3.57e-06,0.916,0.111,0.274,95.895,audio_features,5ROhanbAv4DowIN50SYgNX,spotify:track:5ROhanbAv4DowIN50SYgNX,https://api.spotify.com/v1/tracks/5ROhanbAv4DowIN50SYgNX,https://api.spotify.com/v1/audio-analysis/5ROhanbAv4DowIN50SYgNX,80475,4,H
Karma,Taylor Swift Featuring Ice Spice,['2ecWeXBTjL5MosMpRMAcsI'],0.249,0.118,9,-21.608,0,0.0375,0.901,0.0726,0.139,0.0387,150.119,audio_features,2ecWeXBTjL5MosMpRMAcsI,spotify:track:2ecWeXBTjL5MosMpRMAcsI,https://api.spotify.com/v1/tracks/2ecWeXBTjL5MosMpRMAcsI,https://api.spotify.com/v1/audio-analysis/2ecWeXBTjL5MosMpRMAcsI,101042,4,H
What It Is (Block Boy),Doechii Featuring Kodak Black,['1x7SilUGxYYmLAsKMOHww7'],0.543,0.745,1,-5.884,0,0.202,0.0979,0.0,0.13,0.714,84.686,audio_features,1x7SilUGxYYmLAsKMOHww7,spotify:track:1x7SilUGxYYmLAsKMOHww7,https://api.spotify.com/v1/tracks/1x7SilUGxYYmLAsKMOHww7,https://api.spotify.com/v1/audio-analysis/1x7SilUGxYYmLAsKMOHww7,223344,4,H
Great Gatsby,Rod Wave,['4M68xjcc42oxyphhzpOWXS'],0.67,0.555,1,-9.12,0,0.0908,0.0382,6.36e-06,0.414,0.16,156.937,audio_features,4M68xjcc42oxyphhzpOWXS,spotify:track:4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/tracks/4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/audio-analysis/4M68xjcc42oxyphhzpOWXS,146808,4,H
